"Time","Tesla"
"2021-01-01",100
"2021-02-01",87
"2021-03-01",86
"2021-04-01",77
"2021-05-01",77
"2021-06-01",67
"2021-07-01",67
"2021-08-01",66
"2021-09-01",64
"2021-10-01",76
"2021-11-01",86
"2021-12-01",80
"2022-01-01",82
"2022-02-01",73
"2022-03-01",84
"2022-04-01",86
"2022-05-01",82
"2022-06-01",80
"2022-07-01",69
"2022-08-01",71
"2022-09-01",64
"2022-10-01",63
"2022-11-01",60
"2022-12-01",69
"2023-01-01",85
"2023-02-01",82
"2023-03-01",75
"2023-04-01",73
"2023-05-01",69
"2023-06-01",76
"2023-07-01",77
"2023-08-01",73
"2023-09-01",76
"2023-10-01",72
"2023-11-01",68
"2023-12-01",73
"2024-01-01",75
