"Time","covid"
"2021-01-01",80
"2021-02-01",68
"2021-03-01",79
"2021-04-01",81
"2021-05-01",82
"2021-06-01",70
"2021-07-01",78
"2021-08-01",85
"2021-09-01",67
"2021-10-01",52
"2021-11-01",56
"2021-12-01",90
"2022-01-01",100
"2022-02-01",45
"2022-03-01",32
"2022-04-01",27
"2022-05-01",22
"2022-06-01",25
"2022-07-01",27
"2022-08-01",17
"2022-09-01",14
"2022-10-01",13
"2022-11-01",12
"2022-12-01",15
"2023-01-01",10
"2023-02-01",7
"2023-03-01",7
"2023-04-01",7
"2023-05-01",5
"2023-06-01",4
"2023-07-01",4
"2023-08-01",6
"2023-09-01",8
"2023-10-01",6
"2023-11-01",6
"2023-12-01",8
