"Time","Donald Trump"
"2021-01-01",100
"2021-02-01",29
"2021-03-01",17
"2021-04-01",14
"2021-05-01",15
"2021-06-01",15
"2021-07-01",13
"2021-08-01",13
"2021-09-01",13
"2021-10-01",12
"2021-11-01",11
"2021-12-01",11
"2022-01-01",11
"2022-02-01",13
"2022-03-01",12
"2022-04-01",11
"2022-05-01",9
"2022-06-01",11
"2022-07-01",17
"2022-08-01",16
"2022-09-01",12
"2022-10-01",11
"2022-11-01",20
"2022-12-01",12
"2023-01-01",9
"2023-02-01",9
"2023-03-01",21
"2023-04-01",25
"2023-05-01",11
"2023-06-01",15
"2023-07-01",9
"2023-08-01",26
"2023-09-01",13
"2023-10-01",12
"2023-11-01",11
"2023-12-01",12
