"Time","Taiwan"
"2021-01-01",34
"2021-02-01",32
"2021-03-01",33
"2021-04-01",37
"2021-05-01",41
"2021-06-01",37
"2021-07-01",37
"2021-08-01",36
"2021-09-01",36
"2021-10-01",46
"2021-11-01",36
"2021-12-01",37
"2022-01-01",38
"2022-02-01",59
"2022-03-01",49
"2022-04-01",42
"2022-05-01",42
"2022-06-01",44
"2022-07-01",46
"2022-08-01",100
"2022-09-01",50
"2022-10-01",43
"2022-11-01",41
"2022-12-01",41
"2023-01-01",41
"2023-02-01",46
"2023-03-01",46
"2023-04-01",57
"2023-05-01",47
"2023-06-01",48
"2023-07-01",48
"2023-08-01",47
"2023-09-01",49
"2023-10-01",46
"2023-11-01",43
"2023-12-01",43
