"Time","Spotify"
"2021-01-01",52
"2021-02-01",54
"2021-03-01",52
"2021-04-01",52
"2021-05-01",51
"2021-06-01",54
"2021-07-01",52
"2021-08-01",49
"2021-09-01",54
"2021-10-01",51
"2021-11-01",57
"2021-12-01",74
"2022-01-01",68
"2022-02-01",70
"2022-03-01",78
"2022-04-01",73
"2022-05-01",68
"2022-06-01",74
"2022-07-01",69
"2022-08-01",71
"2022-09-01",76
"2022-10-01",76
"2022-11-01",91
"2022-12-01",89
"2023-01-01",81
"2023-02-01",80
"2023-03-01",77
"2023-04-01",84
"2023-05-01",80
"2023-06-01",79
"2023-07-01",77
"2023-08-01",78
"2023-09-01",81
"2023-10-01",85
"2023-11-01",100
"2023-12-01",88
"2024-01-01",81
