date,views,title,lang
202101,188,FTX,ja
202102,111,FTX,ja
202103,95,FTX,ja
202104,140,FTX,ja
202105,131,FTX,ja
202106,118,FTX,ja
202107,142,FTX,ja
202108,113,FTX,ja
202109,104,FTX,ja
202110,117,FTX,ja
202111,120,FTX,ja
202112,94,FTX,ja
202201,100,FTX,ja
202202,128,FTX,ja
202203,150,FTX,ja
202204,119,FTX,ja
202205,135,FTX,ja
202206,112,FTX,ja
202207,142,FTX,ja
202208,116,FTX,ja
202209,126,FTX,ja
202210,96,FTX,ja
202211,5589,FTX,ja
202212,632,FTX,ja
202301,289,FTX,ja
202302,193,FTX,ja
202303,146,FTX,ja
202304,88,FTX,ja
202305,129,FTX,ja
202306,107,FTX,ja
202307,78,FTX,ja
202308,56,FTX,ja
202309,61,FTX,ja
202310,66,FTX,ja
202311,128,FTX,ja
202312,4,FTX,ja
