date,views,title,lang
202101,846,Rohöl,de
202102,740,Rohöl,de
202103,904,Rohöl,de
202104,763,Rohöl,de
202105,771,Rohöl,de
202106,625,Rohöl,de
202107,525,Rohöl,de
202108,486,Rohöl,de
202109,616,Rohöl,de
202110,785,Rohöl,de
202111,603,Rohöl,de
202112,484,Rohöl,de
202201,652,Rohöl,de
202202,671,Rohöl,de
202203,1405,Rohöl,de
202204,765,Rohöl,de
202205,796,Rohöl,de
202206,713,Rohöl,de
202207,572,Rohöl,de
202208,580,Rohöl,de
202209,698,Rohöl,de
202210,667,Rohöl,de
202211,811,Rohöl,de
202212,746,Rohöl,de
202301,694,Rohöl,de
202302,518,Rohöl,de
202303,736,Rohöl,de
202304,429,Rohöl,de
202305,450,Rohöl,de
202306,466,Rohöl,de
202307,421,Rohöl,de
202308,508,Rohöl,de
202309,472,Rohöl,de
202310,456,Rohöl,de
202311,530,Rohöl,de
202312,20,Rohöl,de
