date,views,title,lang
202101,36,Russisch-Ukrainischer Krieg,de
202102,40,Russisch-Ukrainischer Krieg,de
202103,24,Russisch-Ukrainischer Krieg,de
202104,43,Russisch-Ukrainischer Krieg,de
202105,8,Russisch-Ukrainischer Krieg,de
202106,11,Russisch-Ukrainischer Krieg,de
202107,8,Russisch-Ukrainischer Krieg,de
202108,9,Russisch-Ukrainischer Krieg,de
202109,1,Russisch-Ukrainischer Krieg,de
202110,10,Russisch-Ukrainischer Krieg,de
202111,8,Russisch-Ukrainischer Krieg,de
202112,20,Russisch-Ukrainischer Krieg,de
202201,27,Russisch-Ukrainischer Krieg,de
202202,1061,Russisch-Ukrainischer Krieg,de
202203,333132,Russisch-Ukrainischer Krieg,de
202204,248031,Russisch-Ukrainischer Krieg,de
202205,186271,Russisch-Ukrainischer Krieg,de
202206,121108,Russisch-Ukrainischer Krieg,de
202207,101370,Russisch-Ukrainischer Krieg,de
202208,99803,Russisch-Ukrainischer Krieg,de
202209,181395,Russisch-Ukrainischer Krieg,de
202210,158524,Russisch-Ukrainischer Krieg,de
202211,109099,Russisch-Ukrainischer Krieg,de
202212,79827,Russisch-Ukrainischer Krieg,de
202301,108217,Russisch-Ukrainischer Krieg,de
202302,120958,Russisch-Ukrainischer Krieg,de
202303,82451,Russisch-Ukrainischer Krieg,de
202304,57408,Russisch-Ukrainischer Krieg,de
202305,66070,Russisch-Ukrainischer Krieg,de
202306,71594,Russisch-Ukrainischer Krieg,de
202307,58251,Russisch-Ukrainischer Krieg,de
202308,60430,Russisch-Ukrainischer Krieg,de
202309,61516,Russisch-Ukrainischer Krieg,de
202310,53119,Russisch-Ukrainischer Krieg,de
202311,52700,Russisch-Ukrainischer Krieg,de
202312,1827,Russisch-Ukrainischer Krieg,de
