date,views,title,lang
202101,48657,Russo-Ukrainian War,en
202102,48848,Russo-Ukrainian War,en
202103,75074,Russo-Ukrainian War,en
202104,240293,Russo-Ukrainian War,en
202105,71366,Russo-Ukrainian War,en
202106,65490,Russo-Ukrainian War,en
202107,53071,Russo-Ukrainian War,en
202108,55259,Russo-Ukrainian War,en
202109,54321,Russo-Ukrainian War,en
202110,55869,Russo-Ukrainian War,en
202111,123430,Russo-Ukrainian War,en
202112,253263,Russo-Ukrainian War,en
202201,552975,Russo-Ukrainian War,en
202202,5400695,Russo-Ukrainian War,en
202203,4544233,Russo-Ukrainian War,en
202204,1280088,Russo-Ukrainian War,en
202205,1035656,Russo-Ukrainian War,en
202206,748177,Russo-Ukrainian War,en
202207,672004,Russo-Ukrainian War,en
202208,694793,Russo-Ukrainian War,en
202209,1016043,Russo-Ukrainian War,en
202210,1019214,Russo-Ukrainian War,en
202211,852350,Russo-Ukrainian War,en
202212,676456,Russo-Ukrainian War,en
202301,702005,Russo-Ukrainian War,en
202302,691046,Russo-Ukrainian War,en
202303,637852,Russo-Ukrainian War,en
202304,473235,Russo-Ukrainian War,en
202305,574928,Russo-Ukrainian War,en
202306,713753,Russo-Ukrainian War,en
202307,587832,Russo-Ukrainian War,en
202308,556404,Russo-Ukrainian War,en
202309,508050,Russo-Ukrainian War,en
202310,606983,Russo-Ukrainian War,en
202311,462551,Russo-Ukrainian War,en
202312,15587,Russo-Ukrainian War,en
