date,views,title,lang
202101,55,Russia–Ukraine war,en
202102,51,Russia–Ukraine war,en
202103,58,Russia–Ukraine war,en
202104,55,Russia–Ukraine war,en
202105,48,Russia–Ukraine war,en
202106,33,Russia–Ukraine war,en
202107,55,Russia–Ukraine war,en
202108,68,Russia–Ukraine war,en
202109,54,Russia–Ukraine war,en
202110,50,Russia–Ukraine war,en
202111,85,Russia–Ukraine war,en
202112,143,Russia–Ukraine war,en
202201,190,Russia–Ukraine war,en
202202,1212,Russia–Ukraine war,en
202203,732,Russia–Ukraine war,en
202204,218,Russia–Ukraine war,en
202205,184,Russia–Ukraine war,en
202206,98,Russia–Ukraine war,en
202207,70,Russia–Ukraine war,en
202208,112,Russia–Ukraine war,en
202209,82,Russia–Ukraine war,en
202210,50,Russia–Ukraine war,en
202211,23,Russia–Ukraine war,en
202212,36,Russia–Ukraine war,en
202301,45,Russia–Ukraine war,en
202302,29,Russia–Ukraine war,en
202303,36,Russia–Ukraine war,en
202304,30,Russia–Ukraine war,en
202305,29,Russia–Ukraine war,en
202306,29,Russia–Ukraine war,en
202307,19,Russia–Ukraine war,en
202308,33,Russia–Ukraine war,en
202309,46,Russia–Ukraine war,en
202310,32,Russia–Ukraine war,en
202311,21,Russia–Ukraine war,en
