date,views,title,lang
202101,9244,Владимир Путин,ru
202102,6323,Владимир Путин,ru
202103,5616,Владимир Путин,ru
202104,6023,Владимир Путин,ru
202105,5345,Владимир Путин,ru
202106,4953,Владимир Путин,ru
202107,4895,Владимир Путин,ru
202108,5656,Владимир Путин,ru
202109,6457,Владимир Путин,ru
202110,5444,Владимир Путин,ru
202111,5595,Владимир Путин,ru
202112,5730,Владимир Путин,ru
202201,6601,Владимир Путин,ru
202202,13388,Владимир Путин,ru
202203,17604,Владимир Путин,ru
202204,12968,Владимир Путин,ru
202205,8847,Владимир Путин,ru
202206,7403,Владимир Путин,ru
202207,8380,Владимир Путин,ru
202208,9683,Владимир Путин,ru
202209,11689,Владимир Путин,ru
202210,10667,Владимир Путин,ru
202211,7219,Владимир Путин,ru
202212,7235,Владимир Путин,ru
202301,8860,Владимир Путин,ru
202302,7488,Владимир Путин,ru
202303,9657,Владимир Путин,ru
202304,6690,Владимир Путин,ru
202305,7633,Владимир Путин,ru
202306,14977,Владимир Путин,ru
202307,7477,Владимир Путин,ru
202308,9423,Владимир Путин,ru
202309,5346,Владимир Путин,ru
202310,5351,Владимир Путин,ru
202311,5039,Владимир Путин,ru
202312,150,Владимир Путин,ru
