date,views,title,lang
202101,450025,Taiwan,en
202102,362011,Taiwan,en
202103,449876,Taiwan,en
202104,537188,Taiwan,en
202105,744304,Taiwan,en
202106,480643,Taiwan,en
202107,598713,Taiwan,en
202108,597386,Taiwan,en
202109,463763,Taiwan,en
202110,978231,Taiwan,en
202111,496088,Taiwan,en
202112,442599,Taiwan,en
202201,453955,Taiwan,en
202202,671278,Taiwan,en
202203,717247,Taiwan,en
202204,434777,Taiwan,en
202205,516929,Taiwan,en
202206,437695,Taiwan,en
202207,556005,Taiwan,en
202208,2112258,Taiwan,en
202209,522997,Taiwan,en
202210,531993,Taiwan,en
202211,478385,Taiwan,en
202212,395126,Taiwan,en
202301,447961,Taiwan,en
202302,445141,Taiwan,en
202303,590805,Taiwan,en
202304,660469,Taiwan,en
202305,440022,Taiwan,en
202306,467022,Taiwan,en
202307,459001,Taiwan,en
202308,465691,Taiwan,en
202309,450503,Taiwan,en
202310,443445,Taiwan,en
202311,436240,Taiwan,en
202312,12616,Taiwan,en
