date,views,title,lang
202101,208146,The Walt Disney Company,en
202102,196979,The Walt Disney Company,en
202103,219041,The Walt Disney Company,en
202104,197569,The Walt Disney Company,en
202105,202235,The Walt Disney Company,en
202106,184676,The Walt Disney Company,en
202107,218810,The Walt Disney Company,en
202108,219889,The Walt Disney Company,en
202109,212919,The Walt Disney Company,en
202110,219490,The Walt Disney Company,en
202111,199684,The Walt Disney Company,en
202112,216685,The Walt Disney Company,en
202201,248676,The Walt Disney Company,en
202202,211473,The Walt Disney Company,en
202203,237304,The Walt Disney Company,en
202204,291250,The Walt Disney Company,en
202205,242410,The Walt Disney Company,en
202206,215559,The Walt Disney Company,en
202207,267608,The Walt Disney Company,en
202208,212906,The Walt Disney Company,en
202209,228452,The Walt Disney Company,en
202210,237316,The Walt Disney Company,en
202211,294305,The Walt Disney Company,en
202212,233942,The Walt Disney Company,en
202301,238454,The Walt Disney Company,en
202302,235835,The Walt Disney Company,en
202303,236924,The Walt Disney Company,en
202304,246115,The Walt Disney Company,en
202305,238958,The Walt Disney Company,en
202306,210933,The Walt Disney Company,en
202307,244407,The Walt Disney Company,en
202308,259821,The Walt Disney Company,en
202309,210127,The Walt Disney Company,en
202310,280003,The Walt Disney Company,en
202311,231024,The Walt Disney Company,en
202312,8643,The Walt Disney Company,en
