date,views,title,lang
202101,32371,방탄소년단,ko
202102,24308,방탄소년단,ko
202103,43438,방탄소년단,ko
202104,34160,방탄소년단,ko
202105,35461,방탄소년단,ko
202106,38000,방탄소년단,ko
202107,36954,방탄소년단,ko
202108,27085,방탄소년단,ko
202109,27561,방탄소년단,ko
202110,24582,방탄소년단,ko
202111,23911,방탄소년단,ko
202112,22523,방탄소년단,ko
202201,17617,방탄소년단,ko
202202,14323,방탄소년단,ko
202203,14868,방탄소년단,ko
202204,18297,방탄소년단,ko
202205,14809,방탄소년단,ko
202206,17613,방탄소년단,ko
202207,12768,방탄소년단,ko
202208,14648,방탄소년단,ko
202209,12368,방탄소년단,ko
202210,20341,방탄소년단,ko
202211,16375,방탄소년단,ko
202212,12735,방탄소년단,ko
202301,10693,방탄소년단,ko
202302,10935,방탄소년단,ko
202303,11124,방탄소년단,ko
202304,10285,방탄소년단,ko
202305,10439,방탄소년단,ko
202306,11622,방탄소년단,ko
202307,13285,방탄소년단,ko
202308,16785,방탄소년단,ko
202309,17364,방탄소년단,ko
202310,15471,방탄소년단,ko
202311,14388,방탄소년단,ko
202312,433,방탄소년단,ko
