"Time","Bitcoin"
"2021-01-01",96
"2021-02-01",100
"2021-03-01",71
"2021-04-01",75
"2021-05-01",98
"2021-06-01",69
"2021-07-01",46
"2021-08-01",48
"2021-09-01",44
"2021-10-01",55
"2021-11-01",51
"2021-12-01",51
"2022-01-01",63
"2022-02-01",53
"2022-03-01",44
"2022-04-01",35
"2022-05-01",55
"2022-06-01",61
"2022-07-01",44
"2022-08-01",32
"2022-09-01",32
"2022-10-01",26
"2022-11-01",39
"2022-12-01",27
"2023-01-01",31
"2023-02-01",29
"2023-03-01",33
"2023-04-01",29
"2023-05-01",27
"2023-06-01",27
"2023-07-01",28
"2023-08-01",25
"2023-09-01",23
"2023-10-01",29
"2023-11-01",30
"2023-12-01",35
"2024-01-01",42
