"Time","GameStop"
"2021-01-01",100
"2021-02-01",72
"2021-03-01",44
"2021-04-01",28
"2021-05-01",23
"2021-06-01",25
"2021-07-01",22
"2021-08-01",20
"2021-09-01",19
"2021-10-01",22
"2021-11-01",32
"2021-12-01",34
"2022-01-01",21
"2022-02-01",18
"2022-03-01",17
"2022-04-01",17
"2022-05-01",13
"2022-06-01",15
"2022-07-01",16
"2022-08-01",14
"2022-09-01",15
"2022-10-01",15
"2022-11-01",22
"2022-12-01",23
"2023-01-01",14
"2023-02-01",15
"2023-03-01",12
"2023-04-01",11
"2023-05-01",12
"2023-06-01",12
"2023-07-01",12
"2023-08-01",11
"2023-09-01",12
"2023-10-01",11
"2023-11-01",16
"2023-12-01",20
"2024-01-01",11
