"Time","Xi Jinping"
"2021-01-01",21
"2021-02-01",15
"2021-03-01",14
"2021-04-01",15
"2021-05-01",14
"2021-06-01",14
"2021-07-01",21
"2021-08-01",16
"2021-09-01",18
"2021-10-01",21
"2021-11-01",27
"2021-12-01",18
"2022-01-01",18
"2022-02-01",41
"2022-03-01",34
"2022-04-01",20
"2022-05-01",27
"2022-06-01",15
"2022-07-01",17
"2022-08-01",21
"2022-09-01",100
"2022-10-01",67
"2022-11-01",49
"2022-12-01",21
"2023-01-01",15
"2023-02-01",18
"2023-03-01",42
"2023-04-01",25
"2023-05-01",14
"2023-06-01",35
"2023-07-01",27
"2023-08-01",21
"2023-09-01",20
"2023-10-01",17
"2023-11-01",39
"2023-12-01",20
