"Time","Taylor Swift"
"2021-01-01",14
"2021-02-01",16
"2021-03-01",17
"2021-04-01",18
"2021-05-01",14
"2021-06-01",13
"2021-07-01",13
"2021-08-01",14
"2021-09-01",13
"2021-10-01",13
"2021-11-01",45
"2021-12-01",21
"2022-01-01",18
"2022-02-01",17
"2022-03-01",15
"2022-04-01",18
"2022-05-01",20
"2022-06-01",15
"2022-07-01",16
"2022-08-01",19
"2022-09-01",20
"2022-10-01",42
"2022-11-01",56
"2022-12-01",27
"2023-01-01",24
"2023-02-01",25
"2023-03-01",37
"2023-04-01",50
"2023-05-01",60
"2023-06-01",83
"2023-07-01",84
"2023-08-01",78
"2023-09-01",91
"2023-10-01",100
"2023-11-01",100
"2023-12-01",79
"2024-01-01",76
