"Time","BTS"
"2021-01-01",66
"2021-02-01",63
"2021-03-01",70
"2021-04-01",71
"2021-05-01",85
"2021-06-01",100
"2021-07-01",79
"2021-08-01",72
"2021-09-01",73
"2021-10-01",74
"2021-11-01",70
"2021-12-01",76
"2022-01-01",64
"2022-02-01",67
"2022-03-01",68
"2022-04-01",73
"2022-05-01",63
"2022-06-01",78
"2022-07-01",73
"2022-08-01",51
"2022-09-01",47
"2022-10-01",54
"2022-11-01",45
"2022-12-01",46
"2023-01-01",44
"2023-02-01",43
"2023-03-01",38
"2023-04-01",39
"2023-05-01",40
"2023-06-01",43
"2023-07-01",35
"2023-08-01",31
"2023-09-01",30
"2023-10-01",30
"2023-11-01",29
"2023-12-01",30
"2024-01-01",28
