"Time","Kanye West"
"2021-01-01",56
"2021-02-01",21
"2021-03-01",22
"2021-04-01",18
"2021-05-01",16
"2021-06-01",24
"2021-07-01",33
"2021-08-01",48
"2021-09-01",35
"2021-10-01",26
"2021-11-01",28
"2021-12-01",24
"2022-01-01",36
"2022-02-01",69
"2022-03-01",48
"2022-04-01",25
"2022-05-01",22
"2022-06-01",20
"2022-07-01",18
"2022-08-01",19
"2022-09-01",25
"2022-10-01",100
"2022-11-01",40
"2022-12-01",58
"2023-01-01",39
"2023-02-01",22
"2023-03-01",19
"2023-04-01",16
"2023-05-01",25
"2023-06-01",29
"2023-07-01",22
"2023-08-01",35
"2023-09-01",35
"2023-10-01",26
"2023-11-01",24
"2023-12-01",31
"2024-01-01",31
