date,views,title,lang
202101,14847,Tesla,de
202102,12989,Tesla,de
202103,14532,Tesla,de
202104,19469,Tesla,de
202105,11969,Tesla,de
202106,8127,Tesla,de
202107,5858,Tesla,de
202108,5675,Tesla,de
202109,5431,Tesla,de
202110,6602,Tesla,de
202111,6030,Tesla,de
202112,4875,Tesla,de
202201,5277,Tesla,de
202202,4129,Tesla,de
202203,4974,Tesla,de
202204,5679,Tesla,de
202205,4206,Tesla,de
202206,4571,Tesla,de
202207,4352,Tesla,de
202208,10989,Tesla,de
202209,6083,Tesla,de
202210,5589,Tesla,de
202211,6184,Tesla,de
202212,4873,Tesla,de
202301,5508,Tesla,de
202302,4126,Tesla,de
202303,4092,Tesla,de
202304,3701,Tesla,de
202305,3809,Tesla,de
202306,3656,Tesla,de
202307,3733,Tesla,de
202308,3407,Tesla,de
202309,3538,Tesla,de
202310,3169,Tesla,de
202311,3247,Tesla,de
202312,150,Tesla,de
