date,views,title,lang
202101,857,Apple,ja
202102,1107,Apple,ja
202103,963,Apple,ja
202104,1007,Apple,ja
202105,13814,Apple,ja
202106,35858,Apple,ja
202107,28995,Apple,ja
202108,28631,Apple,ja
202109,42046,Apple,ja
202110,37808,Apple,ja
202111,30720,Apple,ja
202112,29768,Apple,ja
202201,35598,Apple,ja
202202,26562,Apple,ja
202203,28644,Apple,ja
202204,25329,Apple,ja
202205,29476,Apple,ja
202206,29951,Apple,ja
202207,27936,Apple,ja
202208,28024,Apple,ja
202209,37310,Apple,ja
202210,34335,Apple,ja
202211,38336,Apple,ja
202212,27826,Apple,ja
202301,31040,Apple,ja
202302,51085,Apple,ja
202303,25911,Apple,ja
202304,37606,Apple,ja
202305,27015,Apple,ja
202306,34319,Apple,ja
202307,28108,Apple,ja
202308,28187,Apple,ja
202309,38409,Apple,ja
202310,24339,Apple,ja
202311,22048,Apple,ja
202312,749,Apple,ja
