date,views,title,lang
202101,6014,West Texas Intermediate,en
202102,6470,West Texas Intermediate,en
202103,7112,West Texas Intermediate,en
202104,5271,West Texas Intermediate,en
202105,4714,West Texas Intermediate,en
202106,4548,West Texas Intermediate,en
202107,4324,West Texas Intermediate,en
202108,3745,West Texas Intermediate,en
202109,4452,West Texas Intermediate,en
202110,6174,West Texas Intermediate,en
202111,5120,West Texas Intermediate,en
202112,3751,West Texas Intermediate,en
202201,4224,West Texas Intermediate,en
202202,7036,West Texas Intermediate,en
202203,19399,West Texas Intermediate,en
202204,6230,West Texas Intermediate,en
202205,5985,West Texas Intermediate,en
202206,6459,West Texas Intermediate,en
202207,6359,West Texas Intermediate,en
202208,5855,West Texas Intermediate,en
202209,5563,West Texas Intermediate,en
202210,5615,West Texas Intermediate,en
202211,4822,West Texas Intermediate,en
202212,4875,West Texas Intermediate,en
202301,4274,West Texas Intermediate,en
202302,3722,West Texas Intermediate,en
202303,4905,West Texas Intermediate,en
202304,4182,West Texas Intermediate,en
202305,4026,West Texas Intermediate,en
202306,4475,West Texas Intermediate,en
202307,3860,West Texas Intermediate,en
202308,4341,West Texas Intermediate,en
202309,4995,West Texas Intermediate,en
202310,5631,West Texas Intermediate,en
202311,5012,West Texas Intermediate,en
202312,165,West Texas Intermediate,en
