date,views,title,lang
202101,636475,Vladimir Putin,en
202102,414023,Vladimir Putin,en
202103,439183,Vladimir Putin,en
202104,553742,Vladimir Putin,en
202105,432509,Vladimir Putin,en
202106,612707,Vladimir Putin,en
202107,324620,Vladimir Putin,en
202108,376725,Vladimir Putin,en
202109,376165,Vladimir Putin,en
202110,358542,Vladimir Putin,en
202111,324905,Vladimir Putin,en
202112,476660,Vladimir Putin,en
202201,727515,Vladimir Putin,en
202202,8150431,Vladimir Putin,en
202203,10831852,Vladimir Putin,en
202204,1360879,Vladimir Putin,en
202205,895078,Vladimir Putin,en
202206,523054,Vladimir Putin,en
202207,544539,Vladimir Putin,en
202208,612935,Vladimir Putin,en
202209,992380,Vladimir Putin,en
202210,1028799,Vladimir Putin,en
202211,634329,Vladimir Putin,en
202212,499810,Vladimir Putin,en
202301,578630,Vladimir Putin,en
202302,688965,Vladimir Putin,en
202303,928537,Vladimir Putin,en
202304,506580,Vladimir Putin,en
202305,608887,Vladimir Putin,en
202306,937829,Vladimir Putin,en
202307,696412,Vladimir Putin,en
202308,644779,Vladimir Putin,en
202309,509377,Vladimir Putin,en
202310,817038,Vladimir Putin,en
202311,606648,Vladimir Putin,en
202312,15203,Vladimir Putin,en
