date,views,title,lang
202101,117431,Netflix,ja
202102,90827,Netflix,ja
202103,83060,Netflix,ja
202104,71951,Netflix,ja
202105,70626,Netflix,ja
202106,63726,Netflix,ja
202107,64247,Netflix,ja
202108,71016,Netflix,ja
202109,70353,Netflix,ja
202110,88695,Netflix,ja
202111,79335,Netflix,ja
202112,80298,Netflix,ja
202201,85260,Netflix,ja
202202,68491,Netflix,ja
202203,61963,Netflix,ja
202204,58393,Netflix,ja
202205,46331,Netflix,ja
202206,46812,Netflix,ja
202207,52699,Netflix,ja
202208,49261,Netflix,ja
202209,43377,Netflix,ja
202210,43797,Netflix,ja
202211,47223,Netflix,ja
202212,63609,Netflix,ja
202301,64774,Netflix,ja
202302,43548,Netflix,ja
202303,42076,Netflix,ja
202304,41181,Netflix,ja
202305,44819,Netflix,ja
202306,58794,Netflix,ja
202307,49571,Netflix,ja
202308,44949,Netflix,ja
202309,51658,Netflix,ja
202310,36274,Netflix,ja
202311,25616,Netflix,ja
202312,793,Netflix,ja
