date,views,title,lang
202101,2091,테일러 스위프트,ko
202102,3573,테일러 스위프트,ko
202103,1891,테일러 스위프트,ko
202104,1738,테일러 스위프트,ko
202105,1536,테일러 스위프트,ko
202106,1739,테일러 스위프트,ko
202107,1852,테일러 스위프트,ko
202108,1898,테일러 스위프트,ko
202109,1798,테일러 스위프트,ko
202110,1604,테일러 스위프트,ko
202111,1964,테일러 스위프트,ko
202112,1466,테일러 스위프트,ko
202201,1573,테일러 스위프트,ko
202202,1219,테일러 스위프트,ko
202203,1301,테일러 스위프트,ko
202204,1364,테일러 스위프트,ko
202205,1923,테일러 스위프트,ko
202206,989,테일러 스위프트,ko
202207,1083,테일러 스위프트,ko
202208,1160,테일러 스위프트,ko
202209,1070,테일러 스위프트,ko
202210,1647,테일러 스위프트,ko
202211,2885,테일러 스위프트,ko
202212,1220,테일러 스위프트,ko
202301,1224,테일러 스위프트,ko
202302,1559,테일러 스위프트,ko
202303,1637,테일러 스위프트,ko
202304,1594,테일러 스위프트,ko
202305,2183,테일러 스위프트,ko
202306,1995,테일러 스위프트,ko
202307,5752,테일러 스위프트,ko
202308,7587,테일러 스위프트,ko
202309,4812,테일러 스위프트,ko
202310,6131,테일러 스위프트,ko
202311,8208,테일러 스위프트,ko
202312,670,테일러 스위프트,ko
