date,views,title,lang
202101,572917,Marvel Cinematic Universe,en
202102,747656,Marvel Cinematic Universe,en
202103,997883,Marvel Cinematic Universe,en
202104,885110,Marvel Cinematic Universe,en
202105,748325,Marvel Cinematic Universe,en
202106,511120,Marvel Cinematic Universe,en
202107,816955,Marvel Cinematic Universe,en
202108,595421,Marvel Cinematic Universe,en
202109,588887,Marvel Cinematic Universe,en
202110,490576,Marvel Cinematic Universe,en
202111,647570,Marvel Cinematic Universe,en
202112,1061152,Marvel Cinematic Universe,en
202201,1031348,Marvel Cinematic Universe,en
202202,530142,Marvel Cinematic Universe,en
202203,567357,Marvel Cinematic Universe,en
202204,657319,Marvel Cinematic Universe,en
202205,836985,Marvel Cinematic Universe,en
202206,567298,Marvel Cinematic Universe,en
202207,1066993,Marvel Cinematic Universe,en
202208,549481,Marvel Cinematic Universe,en
202209,539192,Marvel Cinematic Universe,en
202210,518318,Marvel Cinematic Universe,en
202211,518873,Marvel Cinematic Universe,en
202212,398844,Marvel Cinematic Universe,en
202301,432854,Marvel Cinematic Universe,en
202302,693671,Marvel Cinematic Universe,en
202303,556831,Marvel Cinematic Universe,en
202304,488024,Marvel Cinematic Universe,en
202305,640711,Marvel Cinematic Universe,en
202306,527793,Marvel Cinematic Universe,en
202307,530895,Marvel Cinematic Universe,en
202308,474893,Marvel Cinematic Universe,en
202309,373850,Marvel Cinematic Universe,en
202310,453013,Marvel Cinematic Universe,en
202311,689257,Marvel Cinematic Universe,en
202312,13565,Marvel Cinematic Universe,en
